ID,Prediction
1,0.174
2,0.026
3,0.126
4,0.102
5,0.012
6,0.068
7,0.004
8,0.394
9,0.318
10,0.688
11,0.024
12,0.062
13,0.488
14,0.894
15,0.0
16,0.648
17,0.054
18,0.516
19,0.732
20,0.08
21,0.116
22,0.322
23,0.728
24,0.806
25,0.022
26,0.2
27,0.038
28,0.07
29,0.026
30,0.31
31,0.022
32,0.024
33,0.006
34,0.006
35,0.24
36,0.102
37,0.002
38,0.17
39,0.14
40,0.21
41,0.74
42,0.046
43,0.582
44,0.212
45,0.002
46,0.002
47,0.026
48,0.332
49,0.1
50,0.18
51,0.002
52,0.092
53,0.422
54,0.404
55,0.402
56,0.326
57,0.026
58,0.332
59,0.326
60,0.626
61,0.0
62,0.782
63,0.108
64,0.0
65,0.012
66,0.026
67,0.874
68,0.16
69,0.0
70,0.016
71,0.01
72,0.44
73,0.002
74,0.06
75,0.406
76,0.014
77,0.004
78,0.064
79,0.778
80,0.004
81,0.156
82,0.03
83,0.02
84,0.006
85,0.13
86,0.746
87,0.14
88,0.002
89,0.238
90,0.82
91,0.71
92,0.84
93,0.022
94,0.004
95,0.286
96,0.656
97,0.002
98,0.0
99,0.082
100,0.264
101,0.816
102,0.17
103,0.024
104,0.574
105,0.836
106,0.028
107,0.236
108,0.01
109,0.548
110,0.182
111,0.018
112,0.072
113,0.022
114,0.048
115,0.512
116,0.106
117,0.006
118,0.002
119,0.024
120,0.074
121,0.868
122,0.06
123,0.872
124,0.364
125,0.982
126,0.002
127,0.288
128,0.344
129,0.212
130,0.104
131,0.76
132,0.154
133,0.614
134,0.638
135,0.19
136,0.026
137,0.016
138,0.006
139,0.096
140,0.0
141,0.254
142,0.002
143,0.002
144,0.19
145,0.094
146,0.654
147,0.074
148,0.154
149,0.542
150,0.03
151,0.358
152,0.622
153,0.138
154,0.03
155,0.526
156,0.616
157,0.32
158,0.004
159,0.002
160,0.258
161,0.728
162,0.604
163,0.012
164,0.004
165,0.062
166,0.544
167,0.362
168,0.1
169,0.024
170,0.02
171,0.626
172,0.0
173,0.212
174,0.0
175,0.112
176,0.446
177,0.14
178,0.29
179,0.002
180,0.016
181,0.688
182,0.084
183,0.026
184,0.092
185,0.008
186,0.02
187,0.124
188,0.086
189,0.0
190,0.022
191,0.054
192,0.36
193,0.144
194,0.712
195,0.236
196,0.008
197,0.594
198,0.04
199,0.332
200,0.128
201,0.008
202,0.188
203,0.032
204,0.018
205,0.0
206,0.61
207,0.344
208,0.006
209,0.626
210,0.014
211,0.034
212,0.392
213,0.036
214,0.014
215,0.0
216,0.38
217,0.014
218,0.078
219,0.016
220,0.906
221,0.276
222,0.002
223,0.014
224,0.826
225,0.606
226,0.0
227,0.01
228,0.058
229,0.004
230,0.47
231,0.872
232,0.114
233,0.578
234,0.336
235,0.804
236,0.266
237,0.106
238,0.25
239,0.252
240,0.022
241,0.486
242,0.006
243,0.016
244,0.246
245,0.03
246,0.44
247,0.0
248,0.934
249,0.728
250,0.622
251,0.022
252,0.052
253,0.002
254,0.0
255,0.386
256,0.008
257,0.32
258,0.308
259,0.352
260,0.002
261,0.042
262,0.518
263,0.01
264,0.132
265,0.144
266,0.002
267,0.0
268,0.868
269,0.088
270,0.002
271,0.764
272,0.014
273,0.002
274,0.166
275,0.136
276,0.214
277,0.092
278,0.02
279,0.042
280,0.104
281,0.768
282,0.072
283,0.056
284,0.036
285,0.03
286,0.32
287,0.238
288,0.466
289,0.0
290,0.568
291,0.466
292,0.862
293,0.002
294,0.258
295,0.096
296,0.016
297,0.452
298,0.404
299,0.072
300,0.12
301,0.742
302,0.028
303,0.014
304,0.166
305,0.042
306,0.66
307,0.016
308,0.676
309,0.04
310,0.392
311,0.044
312,0.248
313,0.002
314,0.06
315,0.018
316,0.022
317,0.822
318,0.158
319,0.362
320,0.022
321,0.012
322,0.102
323,0.428
324,0.462
325,0.61
326,0.002
327,0.004
328,0.0
329,0.08
330,0.018
331,0.348
332,0.376
333,0.34
334,0.01
335,0.024
336,0.002
337,0.248
338,0.036
339,0.532
340,0.552
341,0.4
342,0.778
343,0.038
344,0.0
345,0.396
346,0.772
347,0.002
348,0.428
349,0.714
350,0.298
351,0.006
352,0.138
353,0.494
354,0.648
355,0.308
356,0.062
357,0.002
358,0.14
359,0.21
360,0.328
361,0.01
362,0.184
363,0.292
364,0.338
365,0.024
366,0.37
367,0.04
368,0.656
369,0.538
370,0.78
371,0.362
372,0.232
373,0.004
374,0.062
375,0.034
376,0.086
377,0.136
378,0.006
379,0.714
380,0.0
381,0.044
382,0.014
383,0.014
384,0.008
385,0.05
386,0.002
387,0.946
388,0.008
389,0.034
390,0.032
391,0.26
392,0.658
393,0.012
394,0.05
395,0.672
396,0.426
397,0.5
398,0.854
399,0.476
400,0.492
401,0.11
402,0.0
403,0.086
404,0.106
405,0.286
406,0.126
407,0.002
408,0.376
409,0.668
410,0.228
411,0.716
412,0.358
413,0.012
414,0.1
415,0.01
416,0.158
417,0.3
418,0.588
419,0.016
420,0.004
421,0.002
422,0.0
423,0.022
424,0.52
425,0.11
426,0.206
427,0.398
428,0.0
429,0.194
430,0.122
431,0.53
432,0.464
433,0.0
434,0.164
435,0.276
436,0.156
437,0.636
438,0.018
439,0.002
440,0.016
441,0.596
442,0.946
443,0.008
444,0.574
445,0.148
446,0.126
447,0.008
448,0.006
449,0.442
450,0.402
451,0.876
452,0.004
453,0.05
454,0.672
455,0.004
456,0.02
457,0.038
458,0.494
459,0.04
460,0.008
461,0.066
462,0.398
463,0.3
464,0.012
465,0.066
466,0.004
467,0.266
468,0.034
469,0.236
470,0.434
471,0.63
472,0.432
473,0.334
474,0.008
475,0.636
476,0.002
477,0.104
478,0.078
479,0.372
480,0.036
481,0.806
482,0.03
483,0.082
484,0.698
485,0.0
486,0.058
487,0.83
488,0.104
489,0.384
490,0.168
491,0.002
492,0.0
493,0.002
494,0.018
495,0.26
496,0.006
497,0.124
498,0.346
499,0.492
500,0.066
501,0.204
502,0.058
503,0.824
504,0.006
505,0.032
506,0.774
507,0.106
508,0.002
509,0.028
510,0.128
511,0.168
512,0.582
513,0.526
514,0.312
515,0.054
516,0.466
517,0.018
518,0.362
519,0.686
520,0.27
521,0.012
522,0.25
523,0.2
524,0.006
525,0.424
526,0.504
527,0.006
528,0.178
529,0.218
530,0.646
531,0.03
532,0.492
533,0.014
534,0.022
535,0.212
536,0.016
537,0.322
538,0.104
539,0.074
540,0.89
541,0.002
542,0.778
543,0.016
544,0.002
545,0.156
546,0.098
547,0.484
548,0.524
549,0.05
550,0.126
551,0.428
552,0.714
553,0.006
554,0.02
555,0.436
556,0.0
557,0.0
558,0.324
559,0.332
560,0.67
561,0.046
562,0.864
563,0.436
564,0.094
565,0.41
566,0.054
567,0.474
568,0.846
569,0.258
570,0.03
571,0.008
572,0.376
573,0.028
574,0.754
575,0.114
576,0.172
577,0.024
578,0.07
579,0.082
580,0.016
581,0.01
582,0.122
583,0.174
584,0.512
585,0.726
586,0.046
587,0.654
588,0.712
589,0.004
590,0.026
591,0.292
592,0.004
593,0.012
594,0.0
595,0.74
596,0.03
597,0.37
598,0.146
599,0.008
600,0.04
601,0.692
602,0.002
603,0.092
604,0.518
605,0.0
606,0.364
607,0.112
608,0.0
609,0.024
610,0.118
611,0.31
612,0.218
613,0.0
614,0.052
615,0.708
616,0.062
617,0.012
618,0.006
619,0.25
620,0.04
621,0.106
622,0.618
623,0.212
624,0.806
625,0.02
626,0.01
627,0.232
628,0.518
629,0.412
630,0.066
631,0.162
632,0.806
633,0.008
634,0.014
635,0.118
636,0.054
637,0.024
638,0.086
639,0.17
640,0.8
641,0.308
642,0.0
643,0.084
644,0.038
645,0.796
646,0.43
647,0.798
648,0.024
649,0.746
650,0.0
651,0.446
652,0.002
653,0.404
654,0.436
655,0.186
656,0.508
657,0.606
658,0.05
659,0.688
660,0.806
661,0.144
662,0.084
663,0.26
664,0.292
665,0.146
666,0.1
667,0.012
668,0.348
669,0.028
670,0.068
671,0.022
672,0.006
673,0.026
674,0.574
675,0.014
676,0.122
677,0.0
678,0.006
679,0.002
680,0.266
681,0.382
682,0.14
683,0.016
684,0.152
685,0.008
686,0.042
687,0.374
688,0.176
689,0.46
690,0.024
691,0.036
692,0.016
693,0.568
694,0.464
695,0.744
696,0.318
697,0.182
698,0.044
699,0.004
700,0.11
701,0.09
702,0.222
703,0.492
704,0.04
705,0.016
706,0.3
707,0.042
708,0.092
709,0.06
710,0.188
711,0.106
712,0.136
713,0.03
714,0.014
715,0.01
716,0.698
717,0.186
718,0.18
719,0.352
720,0.888
721,0.55
722,0.242
723,0.196
724,0.046
725,0.188
726,0.316
727,0.02
728,0.784
729,0.266
730,0.054
731,0.03
732,0.072
733,0.112
734,0.834
735,0.814
736,0.076
737,0.112
738,0.69
739,0.102
740,0.756
741,0.148
742,0.396
743,0.004
744,0.0
745,0.0
746,0.116
747,0.006
748,0.0
749,0.0
750,0.704
751,0.18
752,0.062
753,0.374
754,0.0
755,0.012
756,0.046
757,0.014
758,0.09
759,0.384
760,0.004
761,0.708
762,0.52
763,0.008
764,0.386
765,0.284
766,0.324
767,0.628
768,0.01
769,0.194
770,0.338
771,0.646
772,0.564
773,0.026
774,0.048
775,0.078
776,0.554
777,0.104
778,0.686
779,0.206
780,0.05
781,0.14
782,0.568
783,0.65
784,0.2
785,0.212
786,0.376
787,0.208
788,0.194
789,0.568
790,0.006
791,0.162
792,0.022
793,0.798
794,0.004
795,0.054
796,0.18
797,0.668
798,0.494
799,0.026
800,0.122
801,0.722
802,0.036
803,0.364
804,0.022
805,0.744
806,0.608
807,0.018
808,0.754
809,0.06
810,0.216
811,0.422
812,0.052
813,0.004
814,0.022
815,0.066
816,0.026
817,0.416
818,0.004
819,0.008
820,0.102
821,0.714
822,0.008
823,0.298
824,0.0
825,0.054
826,0.008
827,0.0
828,0.65
829,0.786
830,0.232
831,0.158
832,0.036
833,0.192
834,0.26
835,0.0
836,0.774
837,0.022
838,0.744
839,0.46
840,0.662
841,0.0
842,0.048
843,0.13
844,0.066
845,0.344
846,0.556
847,0.072
848,0.012
849,0.364
850,0.734
851,0.614
852,0.044
853,0.0
854,0.024
855,0.506
856,0.002
857,0.216
858,0.03
859,0.056
860,0.004
861,0.026
862,0.014
863,0.11
864,0.058
865,0.156
